Московский;ТЭ25ви;23327505;23327505;23327505;23391591;23327505;23327505;23327505;23391591;23327505;23327505;23327505;23391591;23327505;23327505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Московский;ВЛ60ви;1010736;1010736;1010736;1013512;1010736;1010736;1010736;1013512;1010736;1010736;1010736;1013512;1010736;1010736;1010736;1013512;1010736;1010736;735080;552825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Московский;ВЛ80ви;2163438;2163438;2163438;2169381;2163438;2163438;2163438;2169381;2163438;2163438;2163438;2169381;2163438;2163438;2163438;2169381;2163438;2163438;2163438;1414814;282188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Московский;ЧС4ви;11124987;13872514;14789201;14829831;14789201;14789201;14789201;14829831;14789201;14636886;14636886;14237207;14196181;14116745;43997974;50789739;84412071;84412071;84687788;93674900;97167768;97449952;97449952;97717672;97449952;97449952;97449952;97717672;97449952;97449952;97449952;97717672;97449952;97449952;99048999;99321111;99048999;99344848
Московский;ЧС8ви;297731;297731;297731;298549;297731;297731;297731;298549;297731;297731;297731;298549;297731;297731;297731;298549;297731;297731;297731;298549;297731;297731;297731;298549;297731;297731;297731;298549;297731;297731;297731;298549;297731;297731;297731;298549;297731;0
Московский;ВЛ10ви;3292188;3292188;3292188;3301233;3292188;3292188;3292188;3301233;3292188;3292188;3292188;3301233;3292188;3292188;3292188;1603456;1599063;1599063;1599063;1603456;1599063;1599063;1599063;1603456;1599063;1599063;1599063;1603456;1599063;1599063;1599063;1603456;1599063;1599063;0;0;0;0
Московский;ТЭП70ви;31416881;31416881;31416881;31503191;31416881;31416881;31416881;31503191;31416881;31416881;31416881;31503191;31416881;31416881;31416881;31503191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Западный;ТЭ116ви;551310;551310;551310;552825;551310;551310;551310;552825;551310;551310;551310;552825;551310;551310;551310;552825;551310;551310;551310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Западный;ЭС4Кви;9312189;9312189;9312189;9337772;9312189;9312189;9312189;9337772;9312189;9312189;9312189;9337772;9312189;9312189;9312189;9337772;9312189;9312189;9312189;2075061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Западный;ВЛ10ви;2940322;2940322;2940322;2948399;2940322;2940322;2940322;2948399;2940322;2940322;2940322;2948399;2664666;2664666;1378276;276412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
